Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Inflammatory Bowel Diseases	1	0.03125	1.38828125	0.5205	1	1	hsa-mir-186
Disease	Atypical Teratoid Tumor	1	0.5	22.2125	0.0445	1	0.3324	hsa-let-7b
Disease	Carcinoma, Adrenocortical	4	0.13333333	5.92333333	3.96e-3	1	0.0488	hsa-let-7b,hsa-mir-139,hsa-mir-335,hsa-mir-100
Disease	Cerebral Cavernous Malformations	1	0.2	8.885	0.1077	1	0.5302	hsa-let-7b
Disease	Chronic Inflammation	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-let-7b,hsa-mir-99a
Disease	Endometriosis	4	0.09756098	4.33414634	0.0122	1	0.1168	hsa-let-7b,hsa-mir-100,hsa-mir-99a,hsa-mir-150
Disease	Hemoglobin Diseases	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-let-7b
Disease	Leukemia, Lymphoblastic, Acute, Childhood	3	0.25	11.10625	2.02e-3	1	0.031	hsa-let-7b,hsa-mir-99a,hsa-mir-100
Disease	Liver Diseases [unspecific]	3	0.10344828	4.59568966	0.0258	1	0.2169	hsa-let-7b,hsa-mir-139,hsa-mir-27a
Disease	Lung Injury [unspecific]	3	0.42857143	19.03928571	3.48e-4	0.1934	8.13e-3	hsa-let-7b,hsa-mir-92a-1,hsa-mir-92a-2
Disease	Neurodegenerative Diseases [unspecific]	2	0.10526316	4.67631579	0.0664	1	0.371	hsa-let-7b,hsa-mir-139
Disease	Pituitary Neoplasms	1	0.0625	2.7765625	0.3064	1	1	hsa-let-7b
Disease	Primary Biliary Cirrhosis	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-let-7b
Disease	Retinoblastoma	1	0.02222222	0.98722222	0.6457	1	1	hsa-let-7b
Disease	Rhabdomyosarcoma	2	0.11111111	4.93611111	0.0602	1	0.3717	hsa-let-7b,hsa-mir-27a
Disease	Vascular Hypertrophy	1	0.04761905	2.11547619	0.3817	1	1	hsa-let-7b
Disease	Adenocarcinoma, Gastric	4	0.10526316	4.67631579	9.36e-3	1	0.095	hsa-mir-486-2,hsa-mir-106a,hsa-mir-486-1,hsa-mir-100
Disease	Autism Spectrum Disorder	4	0.14285714	6.34642857	3.05e-3	1	0.0399	hsa-mir-486-2,hsa-mir-106a,hsa-mir-486-1,hsa-mir-27a
Disease	Chronic Hepatitis B	2	0.0625	2.7765625	0.1608	1	0.6706	hsa-mir-106a,hsa-mir-29b-1
Disease	Chronic Obstructive Pulmonary Disease	1	0.03571429	1.58660714	0.474	1	1	hsa-mir-106a
Disease	Diabetic Retinopathy	1	0.04761905	2.11547619	0.3817	1	1	hsa-mir-106a
Disease	Early-Stage Colon Carcinoma	2	0.4	17.77	4.73e-3	1	0.0565	hsa-mir-100,hsa-mir-106a
Disease	Mesothelioma	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-106a
Disease	Retinal Neovascularization	2	0.28571429	12.69285714	9.66e-3	1	0.0976	hsa-mir-106a,hsa-mir-150
Disease	Acquired Immunodeficiency Syndrome	2	0.4	17.77	4.73e-3	1	0.0565	hsa-mir-29b-1,hsa-mir-150
Disease	Aortic Aneurysm	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-29b-1
Disease	Bladder Neoplasms	3	0.08108108	3.60202703	0.0484	1	0.3093	hsa-mir-29b-1,hsa-mir-199b,hsa-mir-99a
Disease	Carcinoma, Laryngeal	5	0.07936508	3.52579365	0.012	1	0.1163	hsa-mir-486-2,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-27a,hsa-mir-378c
Disease	Cardiometabolic Disorders	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-29b-1
Disease	Cerebral Aneurysm	3	0.15	6.66375	9.24e-3	1	0.0944	hsa-mir-29b-1,hsa-mir-92a-1,hsa-mir-92a-2
Disease	Cerebral Ischemia	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-29b-1
Disease	Cholestatic Liver Injury	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-29b-1
Disease	Chronic Kidney Disease	2	0.0625	2.7765625	0.1608	1	0.6706	hsa-mir-29b-1,hsa-mir-150
Disease	Ependymoma	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-29b-1
Disease	Ewing's Sarcoma	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-29b-1
Disease	Heart Diseases [unspecific]	2	0.05263158	2.33815789	0.2099	1	0.7904	hsa-mir-29b-1,hsa-mir-100
Disease	Leiomyoma	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-29b-1
Disease	Leukemia, Lymphoblastic	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-181c,hsa-mir-29b-1
Disease	Myocardial Fibrosis	1	0.0625	2.7765625	0.3064	1	1	hsa-mir-29b-1
Disease	Myotonic Muscular Dystrophy	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-mir-335,hsa-mir-29b-1
Disease	Spinal Cord Injuries	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-mir-29b-1
Disease	Squamous Cell Carcinoma, Lung	1	0.04347826	1.93152174	0.4096	1	1	hsa-mir-29b-1
Disease	Squamous Cell Carcinoma, Tongue	1	0.03703704	1.64537037	0.4617	1	1	hsa-mir-29b-1
Disease	Uterine Leiomyoma	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-29b-1
Disease	Wounds and Injuries [unspecific]	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-29b-1
Disease	Acute Myocardial Infarction	6	0.13043478	5.79456522	4.26e-4	0.237	9.35e-3	hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-99a,hsa-mir-92a-2,hsa-mir-150
Disease	Esophageal Neoplasms	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-92a-1
Disease	Leukemia, Myeloid	6	0.33333333	14.80833333	1.35e-6	7.49e-4	1.09e-4	hsa-mir-150,hsa-mir-139,hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-92a-2
Disease	Leukemia, Promyelocytic, Acute	2	0.13333333	5.92333333	0.0431	1	0.3275	hsa-mir-92a-1,hsa-mir-92a-2
Disease	Leukemia-Lymphoma, Adult T-Cell	3	0.33333333	14.80833333	8.09e-4	0.4497	0.0158	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-150
Disease	Vasculitis	2	0.25	11.10625	0.0127	1	0.12	hsa-mir-92a-1,hsa-mir-92a-2
Disease	Adrenal Cortex Neoplasms	2	0.16666667	7.40416667	0.0283	1	0.2359	hsa-mir-99a,hsa-mir-100
Disease	Carcinoma, Thyroid, Follicular	2	0.22222222	9.87222222	0.0161	1	0.1467	hsa-mir-199b,hsa-mir-100
Disease	Carcinoma, Vulvar	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-100
Disease	Carotid Atherosclerosis	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-100
Disease	Gastric Neoplasms	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-100
Disease	Muscle Atrophy	2	0.11764706	5.22647059	0.0543	1	0.341	hsa-mir-335,hsa-mir-100
Disease	Nasopharyngeal Neoplasms	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-100
Disease	Pancreatic Intraductal Papillary Mucinous Neoplasms	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-99a,hsa-mir-100
Disease	Oral Leukoplakia	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-339
Disease	Acute Megakaryoblastic Leukemia	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-99a
Disease	Carcinoma, Thyroid, Medullary	2	0.18181818	8.07727273	0.0239	1	0.2062	hsa-mir-99a,hsa-mir-151a
Disease	Synovial Sarcoma	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-99a
Disease	Colon Adenoma	1	0.04761905	2.11547619	0.3817	1	1	hsa-mir-378c
Disease	Dengue Virus Infection	2	0.13333333	5.92333333	0.0431	1	0.3275	hsa-mir-378c,hsa-mir-150
Disease	Renal Fibrosis	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-378c
Disease	Chronic Brucellosis	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-139
Disease	Osteoarthritis	4	0.09756098	4.33414634	0.0122	1	0.1168	hsa-mir-139,hsa-mir-181c,hsa-mir-335,hsa-mir-27a
Disease	Lupus Vulgaris	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-629
Disease	Systemic Lupus Erythematosus, With Pericarditis	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-629
Disease	Varicella	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-629
Disease	ACTH-Secreting Pituitary Adenoma	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-150
Disease	Aplastic Anemia	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-150
Disease	Cardiac Myocyte Injury	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-150
Disease	Intrahepatic Cholangiocarcinoma	2	0.09090909	4.03863636	0.086	1	0.4603	hsa-mir-199b,hsa-mir-150
Disease	Irritable Bowel Syndrome	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-150
Disease	Leukemia, Acute	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-150
Disease	Leukemia, Lymphoblastic, Acute, T-Cell	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-150
Disease	Lofgren's Syndrome	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-150
Disease	Myasthenia Gravis	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-mir-181c,hsa-mir-150
Disease	Osteoporosis	2	0.22222222	9.87222222	0.0161	1	0.1467	hsa-mir-27a,hsa-mir-150
Disease	Carcinoma, Head And Neck, Adenoid Cystic	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-199b
Disease	Polycystic Kidney Disease	1	0.07142857	3.17321429	0.2738	1	0.9559	hsa-mir-199b
Disease	Arrhythmia	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-151a
Disease	Asthenozoospermia	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-151a
Disease	Hantavirus Infection	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-151a
Disease	Leukemia, Lymphoblastic, Acute, B-Cell	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-mir-151a
Disease	Carcinoma, Gallbladder	2	0.07407407	3.29074074	0.1219	1	0.5597	hsa-mir-335,hsa-mir-27a
Disease	Depression Disorder	2	0.08695652	3.86304348	0.0929	1	0.4662	hsa-mir-181c,hsa-mir-335
Disease	Fetal Alcohol Syndrome	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-335
Disease	Non-Traumatic Osteonecrosis	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-335
Disease	Peripheral Vascular Disease	1	0.07142857	3.17321429	0.2738	1	0.9559	hsa-mir-335
Disease	Spinal Muscular Atrophy	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-335
Disease	Congenital Heart Diseases	1	0.04545455	2.01931818	0.3958	1	1	hsa-mir-27a
Disease	Erythropoiesis	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-27a
Disease	Ischemic Diseases [unspecific]	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-mir-27a
Disease	Sickle Cell Disease	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-27a
Disease	Diabetic Vasculopathy	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-181c
Disease	Helicobacter Pylori Infection	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-181c
Disease	Keloid	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-mir-181c
Disease	Silicosis	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-181c
Disease	Tumor Metastasis, to Brain	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-181c
Disease	Wound Inflammation	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-181c
Cell Specificity	spinal_cord	3	0.07142857	3.17321429	0.0662	1	0.3712	hsa-let-7b,hsa-mir-330,hsa-mir-584
Cell Specificity	Gingival_epithelial_cells_(GEA14)	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-29b-1,hsa-mir-584
Cell Specificity	Ciliary_Epithelial_Cells	2	0.08333333	3.70208333	0.0999	1	0.4974	hsa-mir-335,hsa-mir-625
Cell Specificity	Corneal_Epithelial_Cells	2	0.1	4.4425	0.0727	1	0.4027	hsa-mir-450b,hsa-mir-4662a
Cell Specificity	Skeletal_muscle_cells_differentiated_into_Myotubes_multinucleated	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-450b
Cell Specificity	CD3+_T_Lymphocytes_(nuclear)	1	0.02564103	1.13910256	0.5925	1	1	hsa-mir-155
Cell Specificity	COBL-a_rinderpest_infection_00hr	1	0.05263158	2.33815789	0.3526	1	1	hsa-mir-155
Cell Specificity	pituitary_gland	1	0.02631579	1.16907895	0.5829	1	1	hsa-mir-598
Cell Specificity	SRhi10043.GTGAAA.4080+4081	2	0.06896552	3.0637931	0.1371	1	0.5901	hsa-mir-4746,hsa-mir-598
Cell Specificity	Preadipocyte_subcutaneous	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-222
Cell Specificity	Mesenchymal_Stem_Cells_Vertebral	2	0.05882353	2.61323529	0.1769	1	0.7033	hsa-mir-222,hsa-mir-29b-1
Cell Specificity	Mesenchymal_Stem_Cells_umbilical	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-4746
Cell Specificity	COBL-a_rinderpest_infection_24hr	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-330
Cell Specificity	Embryonic_Stem_cell_(nuclear)	1	0.01020408	0.45331633	0.8993	1	1	hsa-mir-379
Cell Specificity	Pancreatic_stromal_cells	2	0.08	3.554	0.1071	1	0.5302	hsa-mir-199b,hsa-mir-379
Cell Specificity	Neural_stem_cells	3	0.07317073	3.25060976	0.0624	1	0.3787	hsa-mir-130b,hsa-mir-181c,hsa-mir-99a
Cell Specificity	H9_Embryonic_Stem_cells	6	0.06976744	3.0994186	0.011	1	0.1072	hsa-mir-106a,hsa-mir-130b,hsa-mir-550a-3,hsa-mir-629,hsa-mir-92a-1,hsa-mir-92a-2
Cell Specificity	Renal_Cortical_Epithelial_Cells	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-30a
Cell Specificity	Amniotic_Epithelial_Cells	1	0.03703704	1.64537037	0.4617	1	1	hsa-mir-3065
Cell Specificity	Saos-2_osteosarcoma_treated_with_ascorbic_acid_and_BGP_to_induce_calcification_00hr00min	1	0.06666667	2.96166667	0.2903	1	1	hsa-mir-500a
Cell Specificity	Prostate_Epithelial_Cells_(polarized)	1	0.03333333	1.48083333	0.4978	1	1	hsa-mir-500a
Cell Specificity	Mast_cell	2	0.06666667	2.96166667	0.1449	1	0.6206	hsa-mir-186,hsa-mir-99a
Cell Specificity	Natural_Killer_Cells	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-106a,hsa-mir-186
Cell Specificity	Smooth_Muscle_Cells_Uterine	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-let-7b
Cell Specificity	Fibroblast_Conjunctival	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-100
Cell Specificity	Fibroblast_Periodontal_Ligament	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-100
Cell Specificity	chorionic_membrane_cells	1	0.01639344	0.72827869	0.7566	1	1	hsa-mir-339
Cell Specificity	CD4+_T_Cells	2	0.25	11.10625	0.0127	1	0.12	hsa-mir-150,hsa-mir-339
Cell Specificity	SRhi10043.GTGGCC.4540+4541	2	0.05405405	2.40135135	0.2016	1	0.7771	hsa-mir-151a,hsa-mir-378c
Cell Specificity	Hepatic_Sinusoidal_Endothelial_Cells	1	0.05555556	2.46805556	0.3375	1	1	hsa-mir-139
Cell Specificity	pineal_gland	3	0.05769231	2.56298077	0.1094	1	0.5064	hsa-mir-139,hsa-mir-2110,hsa-mir-664a
Cell Specificity	CD19+_B_Lymphocytes_(nuclear)	3	0.08571429	3.80785714	0.042	1	0.3206	hsa-mir-486-1,hsa-mir-486-2,hsa-mir-664a
Cell Specificity	Astrocyte_cerebral_cortex	2	0.125	5.553125	0.0486	1	0.3084	hsa-mir-550a-1,hsa-mir-550a-2
Cell Specificity	Neutrophils	3	0.06122449	2.71989796	0.0955	1	0.4767	hsa-mir-550a-1,hsa-mir-550a-2,hsa-mir-550a-3
Cell Specificity	Chondrocyte_re_diff	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-199b
Cell Specificity	CD14+_monocytes_treated_with_BCG	2	0.16666667	7.40416667	0.0283	1	0.2359	hsa-mir-27a,hsa-mir-3615
Cell Specificity	Anulus_Pulposus_Cell	1	0.03030303	1.34621212	0.5315	1	1	hsa-mir-2110
Cell Specificity	Mesenchymal_Stem_Cells_Wharton's_Jelly	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-335
Cell Specificity	CD19+_B_Cells	2	0.05128205	2.27820513	0.2183	1	0.8201	hsa-mir-486-1,hsa-mir-486-2
Cell Specificity	Small_Airway_Epithelial_Cells	1	0.06666667	2.96166667	0.2903	1	1	hsa-mir-4662a
Cell Specificity	amniotic_membrane_cells	1	0.02272727	1.00965909	0.6373	1	1	hsa-mir-27a
Cluster	hsa-mir-424 cluster	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-450b
Cluster	hsa-mir-222 cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Cluster	hsa-mir-642b cluster	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-330
Cluster	hsa-mir-379 cluster	1	0.02380952	1.0577381	0.62	1	1	hsa-mir-379
Cluster	hsa-mir-301b cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-130b
Cluster	hsa-mir-30a cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-30a
Cluster	hsa-mir-1250 cluster	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-3065
Cluster	hsa-mir-532 cluster	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-500a
Cluster	hsa-mir-3619 cluster	1	0.25	11.10625	0.0871	1	0.4621	hsa-let-7b
Cluster	hsa-mir-106a cluster	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-106a,hsa-mir-92a-2
Cluster	hsa-mir-29b-1 cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-29b-1
Cluster	hsa-mir-17 cluster	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-92a-1
Cluster	hsa-mir-100 cluster	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-100
Cluster	hsa-mir-99a cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-99a
Cluster	hsa-mir-550a-1 cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-550a-1
Cluster	hsa-mir-550a-2 cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-550a-2
Cluster	hsa-mir-3154 cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-199b
Cluster	hsa-mir-486-2 cluster	2	1	44.425	4.94e-4	0.2748	0.0107	hsa-mir-486-2,hsa-mir-486-1
Cluster	hsa-mir-4662a cluster	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-4662a
Cluster	hsa-mir-181d cluster	2	0.4	17.77	4.73e-3	1	0.0565	hsa-mir-181c,hsa-mir-27a
Family	mir-450 family	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-450b
Family	mir-221 family	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Family	mir-379 family	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-379
Family	mir-130 family	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-130b
Family	mir-30 family	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-30a
Family	mir-500 family	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-500a
Family	let-7 family	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-let-7b
Family	mir-17 family	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-106a
Family	mir-29 family	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-29b-1
Family	mir-25 family	2	0.5	22.2125	2.88e-3	1	0.0391	hsa-mir-92a-1,hsa-mir-92a-2
Family	mir-10 family	2	0.25	11.10625	0.0127	1	0.12	hsa-mir-100,hsa-mir-99a
Family	mir-664 family	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-664a
Family	mir-550 family	3	0.6	26.655	1.03e-4	0.057	2.89e-3	hsa-mir-550a-1,hsa-mir-550a-2,hsa-mir-550a-3
Family	mir-199 family	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-199b
Family	mir-28 family	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-151a
Family	mir-486 family	2	1	44.425	4.94e-4	0.2748	0.0107	hsa-mir-486-1,hsa-mir-486-2
Family	mir-4662 family	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-4662a
Family	mir-27 family	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-27a
Family	mir-181 family	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-181c
Tissue Specificity	Placenta	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-450b
Tissue Specificity	testis	4	0.08510638	3.78085106	0.0195	1	0.1711	hsa-mir-379,hsa-mir-598,hsa-let-7b,hsa-mir-181c
Tissue Specificity	adipocyte	2	0.18181818	8.07727273	0.0239	1	0.2062	hsa-mir-664a,hsa-mir-222
Tissue Specificity	Brain	1	0.05	2.22125	0.3673	1	1	hsa-mir-330
Tissue Specificity	brain.nucleus_caudatus	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-330
Tissue Specificity	small_intestine.duodenum	4	0.08888889	3.94888889	0.0169	1	0.1498	hsa-mir-199b,hsa-mir-486-1,hsa-mir-486-2,hsa-mir-30a
Tissue Specificity	kidney.medulla_renalis	2	0.11111111	4.93611111	0.0602	1	0.3717	hsa-mir-3065,hsa-mir-139
Tissue Specificity	myocardium	2	0.04878049	2.16707317	0.2351	1	0.8527	hsa-mir-186,hsa-mir-500a
Tissue Specificity	nerve.not_specified	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-629
Tissue Specificity	small_intestine.jejunum	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-150
Tissue Specificity	brain.cerebellum	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-486-1,hsa-mir-486-2
Transcription Factor	AKT1	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-181c,hsa-mir-155
Transcription Factor	AP-1	2	0.5	22.2125	2.88e-3	1	0.0391	hsa-mir-29b-1,hsa-mir-155
Transcription Factor	ETS2	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-155
Transcription Factor	FOXP3	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Transcription Factor	MYB	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-155
Transcription Factor	NFKB1	3	0.11538462	5.12596154	0.0192	1	0.1697	hsa-let-7b,hsa-mir-29b-1,hsa-mir-155
Transcription Factor	SMAD4	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-155
Transcription Factor	SPI1	3	0.27272727	12.11590909	1.54e-3	0.856	0.0263	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Transcription Factor	TGFB1	2	0.1	4.4425	0.0727	1	0.4027	hsa-mir-27a,hsa-mir-155
Transcription Factor	TP53	2	0.1	4.4425	0.0727	1	0.4027	hsa-mir-29b-1,hsa-mir-155
Transcription Factor	ERS1	4	0.26666667	11.84666667	2.52e-4	0.1399	6.39e-3	hsa-mir-222,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-106a
Transcription Factor	ETS1	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-222
Transcription Factor	FOSL1	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Transcription Factor	HMGA1	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-222
Transcription Factor	P27	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Transcription Factor	SF2/ASF	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-222
Transcription Factor	EGR1	5	0.17241379	7.65948276	3.57e-4	0.1987	8.25e-3	hsa-mir-106a,hsa-mir-130b,hsa-mir-30a,hsa-mir-335,hsa-mir-27a
Transcription Factor	ESR2	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-30a
Transcription Factor	EIF2C2	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-let-7b
Transcription Factor	LIN28	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-let-7b
Transcription Factor	LIN28B	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-let-7b
Transcription Factor	MYC	4	0.1	4.4425	0.0112	1	0.1089	hsa-let-7b,hsa-mir-106a,hsa-mir-92a-1,hsa-mir-92a-2
Transcription Factor	TRIM32	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-let-7b
Transcription Factor	ZEB1	1	0.07142857	3.17321429	0.2738	1	0.9559	hsa-let-7b
Transcription Factor	E2F1	3	0.11538462	5.12596154	0.0192	1	0.1697	hsa-mir-106a,hsa-mir-92a-1,hsa-mir-92a-2
Transcription Factor	MYCN	4	0.4	17.77	4.20e-5	0.0234	1.46e-3	hsa-mir-335,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-106a
Transcription Factor	SP1	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-106a
Transcription Factor	CEBPA	2	0.18181818	8.07727273	0.0239	1	0.2062	hsa-mir-29b-1,hsa-mir-100
Transcription Factor	YY1	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-29b-1
Transcription Factor	MYOD1	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-378c
Transcription Factor	KLF4	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-150
Transcription Factor	RUNX2	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-27a
